# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=\ 10 t-~ az~n an Gerhard -:} ,$/VIII/52 3 nisse und schon deshalb wär eine gr}1ündliche Verhandlung der angeregten Frage, - soll die ganze Institusorganisazion nicht flir ein schn6des Gaukelspiel erklärt werden - durchaus nothwendig und ongnungsgemäß.
1-1	\	XY	\	_	O	O	
7-1	Ich	PPER	ich	_	O	O	
7-2	h6re	VVFIN	<unknown>	_	O	O	
7-3	,	$,	,	_	O	O	
7-4	daß	KOUS	dass	_	O	O	
7-5	Toelken	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
7-6	einen	ART	eine	_	O	O	
7-7	~ufsatz	NN	<unknown>	_	O	O	
7-8	liber	ADJA	<unknown>	_	O	O	
7-9	G6hler	NN	<unknown>	_	O	O	
7-10	geschrieben	VVPP	schreiben	_	O	O	
7-11	hat	VAFIN	haben	_	O	O	
7-12	,	$,	,	_	O	O	
7-13	den	PRELS	die	_	O	O	
7-14	ich	PPER	ich	_	O	O	
7-15	wohl	ADV	wohl	_	O	O	
7-16	für	APPR	für	_	O	O	
7-17	meine	PPOSAT	mein	_	O	O	
7-18	Arbeiten	NN	Arbeit|Arbeiten	_	O	O	
7-19	nicht	PTKNEG	nicht	_	O	O	
7-20	entbehren	VVINF	entbehren	_	O	O	
7-21	kann	VMFIN	können	_	O	O	
7-22	.	$.	.	_	O	O	

#id=8
#text=Es wird Ihnen wohl nicht schwer sein, denselben flir mich oder das Institut zu bekommen.
8-1	Es	PPER	es	_	O	O	
8-2	wird	VAFIN	werden	_	O	O	
8-3	Ihnen	PPER	Sie	_	O	O	
8-4	wohl	ADV	wohl	_	O	O	
8-5	nicht	PTKNEG	nicht	_	O	O	
8-6	schwer	ADJD	schwer	_	O	O	
8-7	sein	VAINF	sein	_	O	O	
8-8	,	$,	,	_	O	O	
8-9	denselben	PDS	derselbe	_	O	O	
8-10	flir	VVFIN	<unknown>	_	O	O	
8-11	mich	PRF	ich	_	O	O	
8-12	oder	KON	oder	_	O	O	
8-13	das	ART	die	_	O	O	
8-14	Institut	NN	Institut	_	B-webanno.custom.LetterEntity_	B-ORGmentioned	
8-15	zu	PTKZU	zu	_	O	O	
8-16	bekommen	VVINF	bekommen	_	O	O	
8-17	.	$.	.	_	O	O	

#id=9
#text=Frliher als in 2 - 3 Monaten werde ich ihn kaum brauchen; sollte sich aber auch dann keine Gelegenheit gefunden haben, so m6chte ich um Zusendung unter Kreuzband bitten.
9-1	Frliher	NN	<unknown>	_	O	O	
9-2	als	KOKOM	als	_	O	O	
9-3	in	APPR	in	_	O	O	
9-4	2	CARD	2	_	O	O	
9-5	-	$(	-	_	O	O	
9-6	3	CARD	3	_	O	O	
9-7	Monaten	NN	Monat	_	O	O	
9-8	werde	VAFIN	werden	_	O	O	
9-9	ich	PPER	ich	_	O	O	
9-10	ihn	PPER	er	_	O	O	
9-11	kaum	ADV	kaum	_	O	O	
9-12	brauchen	VVINF	brauchen	_	O	O	
9-13	;	$.	;	_	O	O	
9-14	sollte	VMFIN	sollen	_	O	O	
9-15	sich	PRF	sich	_	O	O	
9-16	aber	ADV	aber	_	O	O	
9-17	auch	ADV	auch	_	O	O	
9-18	dann	ADV	dann	_	O	O	
9-19	keine	PIAT	keine	_	O	O	
9-20	Gelegenheit	NN	Gelegenheit	_	O	O	
9-21	gefunden	VVPP	finden	_	O	O	
9-22	haben	VAINF	haben	_	O	O	
9-23	,	$,	,	_	O	O	
9-24	so	ADV	so	_	O	O	
9-25	m6chte	VVFIN	<unknown>	_	O	O	
9-26	ich	PPER	ich	_	O	O	
9-27	um	APPR	um	_	O	O	
9-28	Zusendung	NN	<unknown>	_	O	O	
9-29	unter	APPR	unter	_	O	O	
9-30	Kreuzband	NN	Kreuzband	_	O	O	
9-31	bitten	VVINF	bitten	_	O	O	
9-32	.	$.	.	_	O	O	

#id=10
#text=Sie sehen aus dieser Zeitangabe, daß es leider mit meinen Arbeiten nicht so schnell vorwärts geht, wie ich hoffte.
10-1	Sie	PPER	Sie	_	O	O	
10-2	sehen	VVFIN	sehen	_	O	O	
10-3	aus	APPR	aus	_	O	O	
10-4	dieser	PDAT	dies	_	O	O	
10-5	Zeitangabe	NN	Zeitangabe	_	O	O	
10-6	,	$,	,	_	O	O	
10-7	daß	KOUS	dass	_	O	O	
10-8	es	PPER	es	_	O	O	
10-9	leider	ADV	leider	_	O	O	
10-10	mit	APPR	mit	_	O	O	
10-11	meinen	PPOSAT	mein	_	O	O	
10-12	Arbeiten	NN	Arbeit|Arbeiten	_	O	O	
10-13	nicht	PTKNEG	nicht	_	O	O	
10-14	so	ADV	so	_	O	O	
10-15	schnell	ADJD	schnell	_	O	O	
10-16	vorwärts	ADV	vorwärts	_	O	O	
10-17	geht	VVFIN	gehen	_	O	O	
10-18	,	$,	,	_	O	O	
10-19	wie	KOUS	wie	_	O	O	
10-20	ich	PPER	ich	_	O	O	
10-21	hoffte	VVFIN	hoffen	_	O	O	
10-22	.	$.	.	_	O	O	

#id=11
#text=Heute werde ich den sterbenden Fechter absolviren und dan~ den Laocoon vornehmen.
11-1	Heute	ADV	heute	_	O	O	
11-2	werde	VAFIN	werden	_	O	O	
11-3	ich	PPER	ich	_	O	O	
11-4	den	ART	die	_	O	O	
11-5	sterbenden	ADJA	sterbend	_	O	O	
11-6	Fechter	NN	Fechter	_	O	O	
11-7	absolviren	ADJA	<unknown>	_	O	O	
11-8	und	KON	und	_	O	O	
11-9	dan~	ADJA	<unknown>	_	O	O	
11-10	den	ART	die	_	O	O	
11-11	Laocoon	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-OBJ	
11-12	vornehmen	ADJA	vornehm	_	O	O	
11-13	.	$.	.	_	O	O	

#id=12
#text=Ende Sep- ,~ tember werden aber doch endlich die Bildhauer, liber 30 Bogen, fertig werden.
12-1	Ende	NN	Ende	_	O	O	
12-2	Sep-	NE	<unknown>	_	O	O	
12-3	,~	ADJD	<unknown>	_	O	O	
12-4	tember	VVPP	<unknown>	_	O	O	
12-5	werden	VAFIN	werden	_	O	O	
12-6	aber	KON	aber	_	O	O	
12-7	doch	ADV	doch	_	O	O	
12-8	endlich	ADV	endlich	_	O	O	
12-9	die	ART	die	_	O	O	
12-10	Bildhauer	NN	Bildhauer	_	O	O	
12-11	,	$,	,	_	O	O	
12-12	liber	ADJD	<unknown>	_	O	O	
12-13	30	CARD	30	_	O	O	
12-14	Bogen	NN	Bogen	_	O	O	
12-15	,	$,	,	_	O	O	
12-16	fertig	ADJD	fertig	_	O	O	
12-17	werden	VAFIN	werden	_	O	O	
12-18	.	$.	.	_	O	O	

#id=13
#text=der zweite', etwas klirzere Band, denke ich, soll etwas leichter sein, da er aus mehr kleinen, flir sich bestehenden Gapiteln zusammengesetzt ist, die nicht so fortwährend angespannte Aufmerksamkeit verlangen.
13-1	der	ART	die	_	O	O	
13-2	zweite	ADJA	zweit	_	O	O	
13-3	'	$(	'	_	O	O	
13-4	,	$,	,	_	O	O	
13-5	etwas	ADV	etwas	_	O	O	
13-6	klirzere	ADJA	<unknown>	_	O	O	
13-7	Band	NN	Band	_	O	O	
13-8	,	$,	,	_	O	O	
13-9	denke	VVFIN	denken	_	O	O	
13-10	ich	PPER	ich	_	O	O	
13-11	,	$,	,	_	O	O	
13-12	soll	VMFIN	sollen	_	O	O	
13-13	etwas	PIS	etwas	_	O	O	
13-14	leichter	ADJD	leicht	_	O	O	
13-15	sein	VAINF	sein	_	O	O	
13-16	,	$,	,	_	O	O	
13-17	da	KOUS	da	_	O	O	
13-18	er	PPER	er	_	O	O	
13-19	aus	APPR	aus	_	O	O	
13-20	mehr	PIAT	mehr	_	O	O	
13-21	kleinen	ADJA	klein	_	O	O	
13-22	,	$,	,	_	O	O	
13-23	flir	NN	<unknown>	_	O	O	
13-24	sich	PRF	sich	_	O	O	
13-25	bestehenden	ADJA	bestehend	_	O	O	
13-26	Gapiteln	NN	<unknown>	_	O	O	
13-27	zusammengesetzt	VVPP	zusammensetzen	_	O	O	
13-28	ist	VAFIN	sein	_	O	O	
13-29	,	$,	,	_	O	O	
13-30	die	PRELS	die	_	O	O	
13-31	nicht	PTKNEG	nicht	_	O	O	
13-32	so	ADV	so	_	O	O	
13-33	fortwährend	ADJD	fortwährend	_	O	O	
13-34	angespannte	ADJA	angespannt	_	O	O	
13-35	Aufmerksamkeit	NN	Aufmerksamkeit	_	O	O	
13-36	verlangen	VVFIN	verlangen	_	O	O	
13-37	.	$.	.	_	O	O	

#id=14
#text=Ich arbeite, wie es eben geht, und reise ab, so bald ich fer-
14-1	Ich	PPER	ich	_	O	O	
14-2	arbeite	VVFIN	arbeiten	_	O	O	
14-3	,	$,	,	_	O	O	
14-4	wie	KOUS	wie	_	O	O	
14-5	es	PPER	es	_	O	O	
14-6	eben	ADV	eben	_	O	O	
14-7	geht	VVFIN	gehen	_	O	O	
14-8	,	$,	,	_	O	O	
14-9	und	KON	und	_	O	O	
14-10	reise	VVFIN	reisen	_	O	O	
14-11	ab	PTKVZ	ab	_	O	O	
14-12	,	$,	,	_	O	O	
14-13	so	ADV	so	_	O	O	
14-14	bald	ADV	bald	_	O	O	
14-15	ich	PPER	ich	_	O	O	
14-16	fer-	TRUNC	<unknown>	_	O	O	

