# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=4 \ , ' Henzen an Gerhard 12~/IV/53 Ich stimme daher ihm g,arin'ganz bei, dß.
1-1	4	CARD	4	_	O	O	
5-14	traurig	ADJD	traurig	_	O	O	
5-15	das	ART	die	_	O	O	
5-16	ganze	ADJA	ganz	_	O	O	
5-17	öitle	NE	<unknown>	_	O	O	
5-18	Treiben	NN	Treiben	_	O	O	
5-19	des	ART	die	_	O	O	
5-20	Verstorbnen	ADJA	<unknown>	_	O	O	
5-21	:"Er	NN	<unknown>	_	O	O	
5-22	lebte	VVFIN	leben	_	O	O	
5-23	gut	ADJD	gut	_	O	O	
5-24	,	$,	,	_	O	O	
5-25	er	PPER	er	_	O	O	
5-26	lebte	VVFIN	leben	_	O	O	
5-27	schön	ADJD	schön	_	O	O	
5-28	;	$.	;	_	O	O	
5-29	drum	PAV	drum	_	O	O	
5-30	wird	VAFIN	werden	_	O	O	
5-31	er	PPER	er	_	O	O	
5-32	auch	ADV	auch	_	O	O	
5-33	nicht	PTKNEG	nicht	_	O	O	
5-34	untergehn	ADJD	<unknown>	_	O	O	
5-35	"	$(	"	_	O	O	
5-36	,	$,	,	_	O	O	
5-37	so	ADV	so	_	O	O	
5-38	ungefähr	ADJD	ungefähr	_	O	O	
5-39	.	$.	.	_	O	O	

#id=6
#text=Ich wenigstens kann es nicht loben, wenn Jemand im Augenblicke ds.
6-1	Ich	PPER	ich	_	O	O	
6-2	wenigstens	ADV	wenigstens	_	O	O	
6-3	kann	VMFIN	können	_	O	O	
6-4	es	PPER	es	_	O	O	
6-5	nicht	PTKNEG	nicht	_	O	O	
6-6	loben	VVINF	loben	_	O	O	
6-7	,	$,	,	_	O	O	
6-8	wenn	KOUS	wenn	_	O	O	
6-9	Jemand	NN	Jemand	_	O	O	
6-10	im	APPRART	in	_	O	O	
6-11	Augenblicke	NN	Augenblick	_	O	O	
6-12	ds.	ADJD	<unknown>	_	O	O	

#id=7
#text=TOdes, wie weiland Kaiser Augustus, so von sich schreiben mag.
7-1	TOdes	NN	Tod	_	O	O	
7-2	,	$,	,	_	O	O	
7-3	wie	KOUS	wie	_	O	O	
7-4	weiland	ADV	weiland	_	O	O	
7-5	Kaiser	NE	Kaiser	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
7-6	Augustus	NE	Augustus	_	I-webanno.custom.LetterEntity_	I-PERmentioned	
7-7	,	$,	,	_	O	O	
7-8	so	ADV	so	_	O	O	
7-9	von	APPR	von	_	O	O	
7-10	sich	PRF	sich	_	O	O	
7-11	schreiben	VVINF	schreiben	_	O	O	
7-12	mag	VMFIN	mögen	_	O	O	
7-13	.	$.	.	_	O	O	

#id=8
#text=Dann hieß er alle Anwesenden abtreten, weil ein Sterbender häßlich anzusehen sei.
8-1	Dann	ADV	dann	_	O	O	
8-2	hieß	VVFIN	heißen	_	O	O	
8-3	er	PPER	er	_	O	O	
8-4	alle	PIAT	alle	_	O	O	
8-5	Anwesenden	NN	Anwesende	_	O	O	
8-6	abtreten	VVINF	abtreten	_	O	O	
8-7	,	$,	,	_	O	O	
8-8	weil	KOUS	weil	_	O	O	
8-9	ein	ART	eine	_	O	O	
8-10	Sterbender	NN	Sterbende	_	O	O	
8-11	häßlich	ADJD	hässlich	_	O	O	
8-12	anzusehen	VVIZU	ansehen	_	O	O	
8-13	sei	VAFIN	sein	_	O	O	
8-14	.	$.	.	_	O	O	

#id=9
#text=Doch wir wollen nicht richten; nur hätte der Vf. ds.
9-1	Doch	KON	doch	_	O	O	
9-2	wir	PPER	wir	_	O	O	
9-3	wollen	VMFIN	wollen	_	O	O	
9-4	nicht	PTKNEG	nicht	_	O	O	
9-5	richten	VVINF	richten	_	O	O	
9-6	;	$.	;	_	O	O	
9-7	nur	ADV	nur	_	O	O	
9-8	hätte	VAFIN	haben	_	O	O	
9-9	der	ART	die	_	O	O	
9-10	Vf.	NE	<unknown>	_	O	O	
9-11	ds.	ADJA	<unknown>	_	O	O	

#id=10
#text=Nekrologs in der Times ( Bunsen ? )
10-1	Nekrologs	NN	<unknown>	_	O	O	
10-2	in	APPR	in	_	O	O	
10-3	der	ART	die	_	O	O	
10-4	Times	NE	Times	_	O	O	
10-5	(	$(	(	_	O	O	
10-6	Bunsen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
10-7	?	$.	?	_	O	O	
10-8	)	$(	)	_	O	O	

#id=11
#text=besser gethan, etwas weniger laut in die Posaune zu stoßen.
11-1	besser	ADJD	gut	_	O	O	
11-2	gethan	NE	<unknown>	_	O	O	
11-3	,	$,	,	_	O	O	
11-4	etwas	ADV	etwas	_	O	O	
11-5	weniger	ADV	weniger	_	O	O	
11-6	laut	ADJD	laut	_	O	O	
11-7	in	APPR	in	_	O	O	
11-8	die	ART	die	_	O	O	
11-9	Posaune	NN	Posaune	_	O	O	
11-10	zu	PTKZU	zu	_	O	O	
11-11	stoßen	VVINF	stoßen	_	O	O	
11-12	.	$.	.	_	O	O	

#id=12
#text=Einen großen Diplomaten hat wohl noch Niemand sonst in ihm gesehen.
12-1	Einen	ART	eine	_	O	O	
12-2	großen	ADJA	groß	_	O	O	
12-3	Diplomaten	NN	Diplomat	_	O	O	
12-4	hat	VAFIN	haben	_	O	O	
12-5	wohl	ADV	wohl	_	O	O	
12-6	noch	ADV	noch	_	O	O	
12-7	Niemand	PIS	niemand	_	O	O	
12-8	sonst	ADV	sonst	_	O	O	
12-9	in	APPR	in	_	O	O	
12-10	ihm	PPER	er	_	O	O	
12-11	gesehen	VVPP	sehen	_	O	O	
12-12	.	$.	.	_	O	O	

#id=13
#text=Auch ist nicht wahr, dß.
13-1	Auch	ADV	auch	_	O	O	
13-2	ist	VAFIN	sein	_	O	O	
13-3	nicht	PTKNEG	nicht	_	O	O	
13-4	wahr	ADJD	wahr	_	O	O	
13-5	,	$,	,	_	O	O	
13-6	dß	VVFIN	<unknown>	_	O	O	
13-7	.	$.	.	_	O	O	

#id=14
#text=die Sammlungen an Göttingen vermacht sind, das ihn nicht genug honorirt hat.
14-1	die	ART	die	_	O	O	
14-2	Sammlungen	NN	Sammlung	_	O	O	
14-3	an	APPR	an	_	O	O	
14-4	Göttingen	NE	Göttingen	_	B-webanno.custom.LetterEntity_	B-PLACEmentioned	
14-5	vermacht	VVPP	vermachen	_	O	O	
14-6	sind	VAFIN	sein	_	O	O	
14-7	,	$,	,	_	O	O	
14-8	das	PRELS	die	_	O	O	
14-9	ihn	PPER	er	_	O	O	
14-10	nicht	PTKNEG	nicht	_	O	O	
14-11	genug	ADV	genug	_	O	O	
14-12	honorirt	NN	<unknown>	_	O	O	
14-13	hat	VAFIN	haben	_	O	O	
14-14	.	$.	.	_	O	O	

#id=15
#text=Sie kommen zu den Neffen.
15-1	Sie	PPER	Sie	_	O	O	
15-2	kommen	VVFIN	kommen	_	O	O	
15-3	zu	APPR	zu	_	O	O	
15-4	den	ART	die	_	O	O	
15-5	Neffen	NN	Neffe	_	O	O	
15-6	.	$.	.	_	O	O	

#id=16
#text=Wenn ich Ihnen ein Exemplar meines .t1.ufsatzes zugeschickt, so hat das den einfachen Grund, dß.
16-1	Wenn	KOUS	wenn	_	O	O	
16-2	ich	PPER	ich	_	O	O	
16-3	Ihnen	PPER	Sie	_	O	O	
16-4	ein	ART	eine	_	O	O	
16-5	Exemplar	NN	Exemplar	_	O	O	
16-6	meines	PPOSAT	mein	_	O	O	
16-7	.t1.ufsatzes	NN	<unknown>	_	O	O	
16-8	zugeschickt	VVPP	zuschicken	_	O	O	
16-9	,	$,	,	_	O	O	
16-10	so	ADV	so	_	O	O	
16-11	hat	VAFIN	haben	_	O	O	
16-12	das	PDS	die	_	O	O	
16-13	den	ART	die	_	O	O	
16-14	einfachen	ADJA	einfach	_	O	O	
16-15	Grund	NN	Grund	_	O	O	
16-16	,	$,	,	_	O	O	
16-17	dß	VVFIN	<unknown>	_	O	O	
16-18	.	$.	.	_	O	O	

#id=17
#text=ich selbst nur eines bekommen, auch in der That nicht gedacht, dß.
17-1	ich	PPER	ich	_	O	O	
17-2	selbst	ADV	selbst	_	O	O	
17-3	nur	ADV	nur	_	O	O	
17-4	eines	PIS	eine	_	O	O	
17-5	bekommen	VVFIN	bekommen	_	O	O	
17-6	,	$,	,	_	O	O	
17-7	auch	ADV	auch	_	O	O	
17-8	in	APPR	in	_	O	O	
17-9	der	ART	die	_	O	O	
17-10	That	NE	<unknown>	_	O	O	
17-11	nicht	PTKNEG	nicht	_	O	O	
17-12	gedacht	VVPP	denken|gedenken	_	O	O	
17-13	,	$,	,	_	O	O	
17-14	dß	VVFIN	<unknown>	_	O	O	
17-15	.	$.	.	_	O	O	

#id=18
#text=er Ihnen bedeutend genug vorkommen könne, um ihn zu wünschen.
18-1	er	PPER	er	_	O	O	
18-2	Ihnen	PPER	Sie	_	O	O	
18-3	bedeutend	ADJD	bedeutend	_	O	O	
18-4	genug	ADV	genug	_	O	O	
18-5	vorkommen	VVINF	vorkommen	_	O	O	
18-6	könne	VMFIN	können	_	O	O	
18-7	,	$,	,	_	O	O	
18-8	um	KOUI	um	_	O	O	
18-9	ihn	PPER	er	_	O	O	
18-10	zu	PTKZU	zu	_	O	O	
18-11	wünschen	VVINF	wünschen	_	O	O	
18-12	.	$.	.	_	O	O	

#id=19
#text=Er ist nur darauf berechnet, bei einem größeren Publicum d. Aufmerksamkeit ~ auf die Epigraphik zu lenken, u. allerdine;s die öffentliche rleinung mehr u. mehr
19-1	Er	PPER	er	_	O	O	
19-2	ist	VAFIN	sein	_	O	O	
19-3	nur	ADV	nur	_	O	O	
19-4	darauf	PAV	darauf	_	O	O	
19-5	berechnet	VVPP	berechnen	_	O	O	
19-6	,	$,	,	_	O	O	
19-7	bei	APPR	bei	_	O	O	
19-8	einem	ART	eine	_	O	O	
19-9	größeren	ADJA	groß	_	O	O	
19-10	Publicum	NN	<unknown>	_	O	O	
19-11	d.	ART	d.	_	O	O	
19-12	Aufmerksamkeit	NN	Aufmerksamkeit	_	O	O	
19-13	~	XY	~	_	O	O	
19-14	auf	APPR	auf	_	O	O	
19-15	die	ART	die	_	O	O	
19-16	Epigraphik	NN	<unknown>	_	O	O	
19-17	zu	PTKZU	zu	_	O	O	
19-18	lenken	VVINF	lenken	_	O	O	
19-19	,	$,	,	_	O	O	
19-20	u.	APPR	um	_	O	O	
19-21	allerdine	NE	<unknown>	_	O	O	
19-22	;	$.	;	_	O	O	
19-23	s	NN	s	_	O	O	
19-24	die	ART	die	_	O	O	
19-25	öffentliche	ADJA	öffentlich	_	O	O	
19-26	rleinung	NN	<unknown>	_	O	O	
19-27	mehr	ADV	mehr	_	O	O	
19-28	u.	APPR	um	_	O	O	
19-29	mehr	PIAT	mehr	_	O	O	

