# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=Mommsen an Brunn Berlin, 17. Mai 1861 - 3 - das Gezänk so fortgeht, könnte es wahr werden.
#text=Ich würde darum sie mit der Modification wieder aufnehmen, daß größere Materialiensammlungen daselbst gedruckt werden, die stofflich die Archäologie fördern - solcher Art Hübnersche Katalog und ich denke, mit Deinen Urnen könnte man da auch anknüpfen.
6-1	Ich	PPER	ich	_	O	O	
6-2	würde	VAFIN	werden	_	O	O	
6-3	darum	PAV	darum	_	O	O	
6-4	sie	PPER	sie	_	O	O	
6-5	mit	APPR	mit	_	O	O	
6-6	der	ART	die	_	O	O	
6-7	Modification	NN	<unknown>	_	O	O	
6-8	wieder	ADV	wieder	_	O	O	
6-9	aufnehmen	VVINF	aufnehmen	_	O	O	
6-10	,	$,	,	_	O	O	
6-11	daß	KOUS	dass	_	O	O	
6-12	größere	ADJA	groß	_	O	O	
6-13	Materialiensammlungen	NN	<unknown>	_	O	O	
6-14	daselbst	ADV	daselbst	_	O	O	
6-15	gedruckt	VVPP	drucken	_	O	O	
6-16	werden	VAFIN	werden	_	O	O	
6-17	,	$,	,	_	O	O	
6-18	die	PRELS	die	_	O	O	
6-19	stofflich	ADJD	stofflich	_	O	O	
6-20	die	ART	die	_	O	O	
6-21	Archäologie	NN	Archäologie	_	O	O	
6-22	fördern	VVINF	fördern	_	O	O	
6-23	-	$(	-	_	O	O	
6-24	solcher	PIAT	solche	_	O	O	
6-25	Art	NN	Art	_	O	O	
6-26	Hübnersche	ADJA	<unknown>	_	O	O	
6-27	Katalog	NN	Katalog	_	O	O	
6-28	und	KON	und	_	O	O	
6-29	ich	PPER	ich	_	O	O	
6-30	denke	VVFIN	denken	_	O	O	
6-31	,	$,	,	_	O	O	
6-32	mit	APPR	mit	_	O	O	
6-33	Deinen	PPOSAT	dein	_	O	O	
6-34	Urnen	NN	Urne	_	O	O	
6-35	könnte	VMFIN	können	_	O	O	
6-36	man	PIS	man	_	O	O	
6-37	da	ADV	da	_	O	O	
6-38	auch	ADV	auch	_	O	O	
6-39	anknüpfen	VVINF	anknüpfen	_	O	O	
6-40	.	$.	.	_	O	O	

#id=7
#text=Dabei würde man wahrscheinlich eine Anzahl Käufer garantieren, die das Werk als giunta zu den Schriften des Instituts nehmen, obwohl man überhaupt in dieser Hinsicht die bescheidensten Erwartungen hegen muß und Deine Voraussehung,;, daß der schlechte Verkauf der Gerhardschen Spiegel an Gerhards verkehrter Auswahl liege, ganz gewiß verkehrt ist.
7-1	Dabei	PAV	dabei	_	O	O	
7-2	würde	VAFIN	werden	_	O	O	
7-3	man	PIS	man	_	O	O	
7-4	wahrscheinlich	ADJD	wahrscheinlich	_	O	O	
7-5	eine	ART	eine	_	O	O	
7-6	Anzahl	NN	Anzahl	_	O	O	
7-7	Käufer	NN	Käufer	_	O	O	
7-8	garantieren	VVINF	garantieren	_	O	O	
7-9	,	$,	,	_	O	O	
7-10	die	PRELS	die	_	O	O	
7-11	das	ART	die	_	O	O	
7-12	Werk	NN	Werk	_	O	O	
7-13	als	KOKOM	als	_	O	O	
7-14	giunta	ADJD	<unknown>	_	O	O	
7-15	zu	APPR	zu	_	O	O	
7-16	den	ART	die	_	O	O	
7-17	Schriften	NN	Schrift	_	O	O	
7-18	des	ART	die	_	O	O	
7-19	Instituts	NN	Institut	_	B-webanno.custom.LetterEntity_	B-ORGmentioned	
7-20	nehmen	VVFIN	nehmen	_	O	O	
7-21	,	$,	,	_	O	O	
7-22	obwohl	KOUS	obwohl	_	O	O	
7-23	man	PIS	man	_	O	O	
7-24	überhaupt	ADV	überhaupt	_	O	O	
7-25	in	APPR	in	_	O	O	
7-26	dieser	PDAT	dies	_	O	O	
7-27	Hinsicht	NN	Hinsicht	_	O	O	
7-28	die	ART	die	_	O	O	
7-29	bescheidensten	ADJA	bescheiden	_	O	O	
7-30	Erwartungen	NN	Erwartung	_	O	O	
7-31	hegen	VVINF	hegen	_	O	O	
7-32	muß	VMFIN	müssen	_	O	O	
7-33	und	KON	und	_	O	O	
7-34	Deine	PPOSAT	dein	_	O	O	
7-35	Voraussehung	NN	<unknown>	_	O	O	
7-36	,	$,	,	_	O	O	
7-37	;	$.	;	_	O	O	
7-38	,	$,	,	_	O	O	
7-39	daß	KOUS	dass	_	O	O	
7-40	der	ART	die	_	O	O	
7-41	schlechte	ADJA	schlecht	_	O	O	
7-42	Verkauf	NN	Verkauf	_	O	O	
7-43	der	ART	die	_	O	O	
7-44	Gerhardschen	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-OBJ	
7-45	Spiegel	NN	Spiegel	_	I-webanno.custom.LetterEntity_	I-OBJ	
7-46	an	APPR	an	_	O	O	
7-47	Gerhards	NE	Gerhards	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
7-48	verkehrter	ADJA	verkehrter	_	O	O	
7-49	Auswahl	NN	Auswahl	_	O	O	
7-50	liege	VVFIN	liegen	_	O	O	
7-51	,	$,	,	_	O	O	
7-52	ganz	ADV	ganz	_	O	O	
7-53	gewiß	ADJD	gewiss	_	O	O	
7-54	verkehrt	VVPP	verkehren	_	O	O	
7-55	ist	VAFIN	sein	_	O	O	
7-56	.	$.	.	_	O	O	

#id=8
#text=Detlefsens Arbeit würde ich auf den deutschen Buchhandel verweisen; Jahns Jahrbücher drucken sie gewiß n als Spplementheft.
8-1	Detlefsens	NE	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
8-2	Arbeit	NN	Arbeit	_	O	O	
8-3	würde	VAFIN	werden	_	O	O	
8-4	ich	PPER	ich	_	O	O	
8-5	auf	APPR	auf	_	O	O	
8-6	den	ART	die	_	O	O	
8-7	deutschen	ADJA	deutsch	_	O	O	
8-8	Buchhandel	NN	Buchhandel	_	O	O	
8-9	verweisen	VVINF	verweisen	_	O	O	
8-10	;	$.	;	_	O	O	
8-11	Jahns	NE	Jahn	_	O	O	
8-12	Jahrbücher	NN	Jahrbuch	_	O	O	
8-13	drucken	VVFIN	drucken	_	O	O	
8-14	sie	PPER	sie	_	O	O	
8-15	gewiß	ADJD	gewiss	_	O	O	
8-16	n	ADJD	<unknown>	_	O	O	
8-17	als	KOKOM	als	_	O	O	
8-18	Spplementheft	NN	<unknown>	_	O	O	
8-19	.	$.	.	_	O	O	

#id=9
#text=Wer die Verhältnisse nur irgend übersieht, wird begreifen, daß das Institut nur an Selbstständigkeit ge-
9-1	Wer	PWS	wer	_	O	O	
9-2	die	ART	die	_	O	O	
9-3	Verhältnisse	NN	Verhältnis	_	O	O	
9-4	nur	ADV	nur	_	O	O	
9-5	irgend	ADV	irgend	_	O	O	
9-6	übersieht	VVFIN	übersehen	_	O	O	
9-7	,	$,	,	_	O	O	
9-8	wird	VAFIN	werden	_	O	O	
9-9	begreifen	VVINF	begreifen	_	O	O	
9-10	,	$,	,	_	O	O	
9-11	daß	KOUS	dass	_	O	O	
9-12	das	ART	die	_	O	O	
9-13	Institut	NN	Institut	_	B-webanno.custom.LetterEntity_	B-ORGmentioned	
9-14	nur	ADV	nur	_	O	O	
9-15	an	APPR	an	_	O	O	
9-16	Selbstständigkeit	NN	Selbständigkeit	_	O	O	
9-17	ge-	TRUNC	ge-	_	O	O	

