# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=~ 10 Hensefr an Gerhard "1--»/VIII/52 tig sein werde, wann es auch sei.
1-1	~	XY	~	_	O	O	
#text=Vorläufig begnDge ich micht damit, daß ~ie die Tatsache, auf welche es mir ankam, wenn auch nur nackt, und noch nicht in ihren Consequegzen ane~kanht haben.
13-1	Vorläufig	ADJD	vorläufig	_	O	O	
13-2	begnDge	VVFIN	<unknown>	_	O	O	
13-3	ich	PPER	ich	_	O	O	
13-4	micht	ADJD	<unknown>	_	O	O	
13-5	damit	PAV	damit	_	O	O	
13-6	,	$,	,	_	O	O	
13-7	daß	KOUS	dass	_	O	O	
13-8	~ie	NN	<unknown>	_	O	O	
13-9	die	ART	die	_	O	O	
13-10	Tatsache	NN	Tatsache	_	O	O	
13-11	,	$,	,	_	O	O	
13-12	auf	APPR	auf	_	O	O	
13-13	welche	PRELS	welche	_	O	O	
13-14	es	PPER	es	_	O	O	
13-15	mir	PRF	ich	_	O	O	
13-16	ankam	VVFIN	ankommen	_	O	O	
13-17	,	$,	,	_	O	O	
13-18	wenn	KOUS	wenn	_	O	O	
13-19	auch	ADV	auch	_	O	O	
13-20	nur	ADV	nur	_	O	O	
13-21	nackt	ADJD	nackt	_	O	O	
13-22	,	$,	,	_	O	O	
13-23	und	KON	und	_	O	O	
13-24	noch	ADV	noch	_	O	O	
13-25	nicht	PTKNEG	nicht	_	O	O	
13-26	in	APPR	in	_	O	O	
13-27	ihren	PPOSAT	ihr	_	O	O	
13-28	Consequegzen	NN	<unknown>	_	O	O	
13-29	ane~kanht	VVPP	<unknown>	_	O	O	
13-30	haben	VAFIN	haben	_	O	O	
13-31	.	$.	.	_	O	O	

#id=14
#text=Es bleibt nur noch Platz, Lebewohl zu sagen.
14-1	Es	PPER	es	_	O	O	
14-2	bleibt	VVFIN	bleiben	_	O	O	
14-3	nur	ADV	nur	_	O	O	
14-4	noch	ADV	noch	_	O	O	
14-5	Platz	NN	Platz	_	O	O	
14-6	,	$,	,	_	O	O	
14-7	Lebewohl	NN	Lebewohl	_	O	O	
14-8	zu	PTKZU	zu	_	O	O	
14-9	sagen	VVINF	sagen	_	O	O	
14-10	.	$.	.	_	O	O	

#id=15
#text=Ergebenst HBrunn
15-1	Ergebenst	ADJD	ergeben	_	O	O	
15-2	HBrunn	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERauthor	

