# de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value  # webanno.custom.Tex | LayoutElement # webanno.custom.LetterEntity | entity_id | value
#id=1
#text=Gerhard an Henzen Berlin 6/111/1847 A. di lJir. g. r.
1-1	Gerhard	NE	Gerhard	_	B-webanno.custom.LetterEntity_	B-PERauthor	
9-2	Register	NN	Register	_	O	O	
9-3	ist	VAFIN	sein	_	O	O	
9-4	noch	ADV	noch	_	O	O	
9-5	immer	ADV	immer	_	O	O	
9-6	nicht	PTKNEG	nicht	_	O	O	
9-7	versendbar	ADJD	<unknown>	_	O	O	
9-8	;	$.	;	_	O	O	
9-9	es	PPER	es	_	O	O	
9-10	wird	VAFIN	werden	_	O	O	
9-11	nur	ADV	nur	_	O	O	
9-12	2	CARD	2	_	O	O	
9-13	Bogen	NN	Bogen	_	O	O	
9-14	stark	ADJD	stark	_	O	O	
9-15	nächstens	ADV	nächstens	_	O	O	
9-16	nachgeliefert	VVPP	nachliefern	_	O	O	
9-17	.	$.	.	_	O	O	

#id=10
#text=Wollen Sie wol so gut sein von den Cades'schen I~Fkonte dell'Instituto mir I no 46 ( Rastor ) und 111 no 32 ( Talmethi ) in einzelnen ~bdrücken zum Ersatz verlorener baldmöglichst, spätestens durch den ~rückreisenden Vollard zukommen zu lassen.
10-1	Wollen	VMFIN	wollen	_	O	O	
10-2	Sie	PPER	Sie	_	O	O	
10-3	wol	ADJD	<unknown>	_	O	O	
10-4	so	ADV	so	_	O	O	
10-5	gut	ADJD	gut	_	O	O	
10-6	sein	VAINF	sein	_	O	O	
10-7	von	APPR	von	_	O	O	
10-8	den	ART	die	_	O	O	
10-9	Cades'schen	NN	<unknown>	_	O	O	
10-10	I~Fkonte	ADJA	<unknown>	_	O	O	
10-11	dell'Instituto	NN	<unknown>	_	O	O	
10-12	mir	PPER	ich	_	O	O	
10-13	I	FM	I	_	O	O	
10-14	no	FM	no	_	O	O	
10-15	46	CARD	46	_	O	O	
10-16	(	$(	(	_	O	O	
10-17	Rastor	NN	<unknown>	_	O	O	
10-18	)	$(	)	_	O	O	
10-19	und	KON	und	_	O	O	
10-20	111	CARD	@card@	_	O	O	
10-21	no	NE	no	_	O	O	
10-22	32	CARD	32	_	O	O	
10-23	(	$(	(	_	O	O	
10-24	Talmethi	NE	<unknown>	_	O	O	
10-25	)	$(	)	_	O	O	
10-26	in	APPR	in	_	O	O	
10-27	einzelnen	ADJA	einzeln	_	O	O	
10-28	~bdrücken	NN	<unknown>	_	O	O	
10-29	zum	APPRART	zu	_	O	O	
10-30	Ersatz	NN	Ersatz	_	O	O	
10-31	verlorener	ADJD	verlorener	_	O	O	
10-32	baldmöglichst	ADV	baldmöglichst	_	O	O	
10-33	,	$,	,	_	O	O	
10-34	spätestens	ADV	spätestens	_	O	O	
10-35	durch	APPR	durch	_	O	O	
10-36	den	ART	die	_	O	O	
10-37	~rückreisenden	ADJA	<unknown>	_	O	O	
10-38	Vollard	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
10-39	zukommen	VVINF	zukommen	_	O	O	
10-40	zu	PTKZU	zu	_	O	O	
10-41	lassen	VVINF	lassen	_	O	O	
10-42	.	$.	.	_	O	O	

#id=11
#text=Vom Bullettino dieses Jahres noch immer nichts so ~~6 ~ Mommsens messapische Tafeln.
11-1	Vom	APPRART	von	_	O	O	
11-2	Bullettino	NN	<unknown>	_	O	O	
11-3	dieses	PDAT	dies	_	O	O	
11-4	Jahres	NN	Jahr	_	O	O	
11-5	noch	ADV	noch	_	O	O	
11-6	immer	ADV	immer	_	O	O	
11-7	nichts	PIS	nichts	_	O	O	
11-8	so	ADV	so	_	O	O	
11-9	~~6	CARD	<unknown>	_	O	O	
11-10	~	XY	~	_	O	O	
11-11	Mommsens	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
11-12	messapische	ADJA	<unknown>	_	O	O	
11-13	Tafeln	NN	Tafel	_	O	O	
11-14	.	$.	.	_	O	O	

#id=12
#text=Ist es durch Jagers unsersätzl.
12-1	Ist	VAFIN	sein	_	O	O	
12-2	es	PPER	es	_	O	O	
12-3	durch	APPR	durch	_	O	O	
12-4	Jagers	NN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
12-5	unsersätzl	NE	<unknown>	_	O	O	
12-6	.	$.	.	_	O	O	

#id=13
#text=Todesfall verschleppt ?
13-1	Todesfall	NN	Todesfall	_	O	O	
13-2	verschleppt	VVPP	verschleppen	_	O	O	
13-3	?	$.	?	_	O	O	

#id=14
#text=Ist Nibby's Monographie über den ~ircus des Maxentius einzeln zu haben so bitte ich um 1 Exemplar.
14-1	Ist	VAFIN	sein	_	O	O	
14-2	Nibby's	VVFIN	<unknown>	_	B-webanno.custom.LetterEntity_	B-PERmentioned	
14-3	Monographie	NN	Monographie	_	O	O	
14-4	über	APPR	über	_	O	O	
14-5	den	ART	die	_	O	O	
14-6	~ircus	NN	<unknown>	_	O	O	
14-7	des	ART	die	_	O	O	
14-8	Maxentius	NE	<unknown>	_	O	O	
14-9	einzeln	ADJD	einzeln	_	O	O	
14-10	zu	PTKVZ	zu	_	O	O	
14-11	haben	VAFIN	haben	_	O	O	
14-12	so	ADV	so	_	O	O	
14-13	bitte	VVFIN	bitten	_	O	O	
14-14	ich	PPER	ich	_	O	O	
14-15	um	APPR	um	_	O	O	
14-16	1	CARD	1	_	O	O	
14-17	Exemplar	NN	Exemplar	_	O	O	
14-18	.	$.	.	_	O	O	

#id=15
#text=Oder steht die Abh. irgendwo in ein pro •••••••••••• verarbei-
15-1	Oder	KON	oder	_	O	O	
15-2	steht	VVFIN	stehen	_	O	O	
15-3	die	ART	die	_	O	O	
15-4	Abh	NN	<unknown>	_	O	O	
15-5	.	$.	.	_	O	O	
15-6	irgendwo	ADV	irgendwo	_	O	O	
15-7	in	APPR	in	_	O	O	
15-8	ein	ART	eine	_	O	O	
15-9	pro	APPR	pro	_	O	O	
15-10	•	ADJA	<unknown>	_	O	O	
15-11	•	NN	<unknown>	_	O	O	
15-12	•	ADJA	<unknown>	_	O	O	
15-13	•	NN	<unknown>	_	O	O	
15-14	•	ADJA	<unknown>	_	O	O	
15-15	•	NN	<unknown>	_	O	O	
15-16	•	ADJA	<unknown>	_	O	O	
15-17	•	NN	<unknown>	_	O	O	
15-18	•	ADJA	<unknown>	_	O	O	
15-19	•	NN	<unknown>	_	O	O	
15-20	•	ADJD	<unknown>	_	O	O	
15-21	•	ADJA	<unknown>	_	O	O	
15-22	verarbei-	TRUNC	<unknown>	_	O	O	

